Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
0911D8E4573BE6F3EEDA3F13927DE830F6A16E6D_1554482410,04/05/2019 04:40:10 PM +0000,Crash Urgent,"(30.328916,-97.739788)",30.328915999999996,-97.739788,Houston St & Burnet Rd,ARCHIVED,04/05/2019 06:10:04 PM +0000
77BF3F680D135C03C5A0F017E13016D0A4785BB9_1567989163,09/09/2019 12:32:43 AM +0000,Traffic Hazard,"(30.236542,-97.720985)",30.236542,-97.720985,1500-1949 S Pleasant Valley Rd,ARCHIVED,09/09/2019 12:40:03 AM +0000
CF9725A2055B246C88258A875D98584BA37189AF_1623257124,06/09/2021 04:45:24 PM +0000,TRFC HAZD/ DEBRIS,"(30.319823,-97.665674)",30.319823,-97.665674,7427-7431 ED BLUESTEIN BLVD NB,ARCHIVED,06/09/2021 04:55:03 PM +0000
CA9E263D07340B8B04EEA95E4172CCB3800E773A_1562194121,07/03/2019 10:48:41 PM +0000,Traffic Hazard,"(30.3375,-97.718889)",30.3375,-97.718889,N Lamar Blvd & Airport Blvd,ARCHIVED,07/03/2019 11:45:05 PM +0000
83DF4360232F4B1CC609EDB0620E15005085786D_1512783122000,12/09/2017 01:32:00 AM +0000,Crash Service,"(30.383426,-97.724078)",30.383426,-97.724078,Rutland Dr & Burnet Rd,ARCHIVED,12/09/2017 01:40:00 AM +0000
954766448011A573ED48E3E92F4B069F62EF4B92_1570895322,10/12/2019 03:48:42 PM +0000,Crash Urgent,"(30.244258,-97.781397)",30.244258000000002,-97.781397,Menchaca Rd & S Lamar Blvd,ARCHIVED,10/12/2019 05:15:04 PM +0000
8CE2F7CDC27D512A28746DB1E8895650F9355602_1530220738,06/28/2018 09:18:58 PM +0000,Crash Urgent,"(30.339415,-97.592531)",30.339415000000002,-97.59253100000001,9987-10011 E US 290 HWY SVRD EB,ARCHIVED,06/28/2018 09:45:03 PM +0000
B338563109F2BF96B41B6F5BB804904277C0DED6_1524170747000,04/19/2018 08:45:00 PM +0000,Crash Urgent,"(30.400312,-97.745413)",30.400312,-97.745413,4607 W BRAKER LN,ARCHIVED,04/19/2018 09:45:00 PM +0000
E6477EA575D0D5B1239E1E482793FB1BBF19CC19_1543513554,11/29/2018 05:45:54 PM +0000,Crash Service,"(30.183488,-97.900243)",30.183488,-97.900243,11520 Maggiore Dr,ARCHIVED,11/29/2018 08:40:04 PM +0000
C718AA30A6FF882B7087CE4F1567E335EA77186E_1655089020,06/13/2022 02:57:00 AM +0000,Traffic Hazard,"(30.215384,-97.663836)",30.215384000000004,-97.663836,E Sh 71 Svrd Eb & Spirit Of Texas Dr,ARCHIVED,06/13/2022 03:30:03 AM +0000
DD2DFA50DC8FECA1E5303A87B2C6A42DB3EBE102_1545516766,12/22/2018 10:12:46 PM +0000,Traffic Hazard,"(30.371851,-97.723912)",30.371851,-97.723912,8816-8998 Research Blvd Sb,ARCHIVED,12/22/2018 11:55:03 PM +0000
C84C7C86AC0619B3CD69A0F9D185EB5D6030D751_1526016217000,05/11/2018 05:23:00 AM +0000,Traffic Hazard,"(30.240898,-97.68911)",30.240897999999998,-97.68911,300-322 Bastrop Hwy Sb,ARCHIVED,05/11/2018 06:30:00 AM +0000
C9DFB3338B461C8662CE7C52F4A28672A75B9FB5_1605789355,11/19/2020 12:35:55 PM +0000,COLLISION,"(30.143989,-97.696717)",30.143989,-97.696717,Mc Kenzie Rd & S Us 183 Hwy,ARCHIVED,11/19/2020 01:00:04 PM +0000
599E9EF3575AE3622FE4BC5B1B01C3705A7E848C_1512670483000,12/07/2017 06:14:00 PM +0000,Crash Urgent,"(30.305278,-97.743056)",30.305278,-97.74305600000001,W 38th St & N Lamar Blvd,ARCHIVED,12/07/2017 07:25:00 PM +0000
3AF9CF6CDBCE292B85988DA6C32CC42975B33C86_1645117128,02/17/2022 04:58:48 PM +0000,Crash Urgent,"(30.250562,-97.760664)",30.250562,-97.760664,1000 W MILTON ST,ARCHIVED,02/17/2022 06:30:03 PM +0000
9089AA42A842DF1F5285A26EB6B76987077D3326_1542525366,11/18/2018 07:16:06 AM +0000,Traffic Hazard,"(30.33152,-97.684255)",30.33152,-97.68425500000001,1800 E Anderson Ln Eb,ARCHIVED,11/18/2018 07:50:04 AM +0000
731505E34829883E122EED58FCA8260CAF53AB98_1628039321,08/04/2021 01:08:41 AM +0000,COLLISION,"(30.396272,-97.916258)",30.396271999999996,-97.916258,4200-4233 N Fm 620 Rd,ARCHIVED,08/04/2021 01:15:02 AM +0000
5BDF0A2DA996D5D89B383318AFDA6FC994A63D58_1628409723,08/08/2021 08:02:03 AM +0000,Crash Urgent,"(30.338855,-97.699555)",30.338855,-97.699555,E Anderson Ln Svrd Eb & N Ih 35 Svrd Nb,ARCHIVED,08/08/2021 08:20:03 AM +0000
329CC95AA311EEEE243FF2D98207A438EF31F02C_1530038466,06/26/2018 06:41:06 PM +0000,COLLISION,"(30.296465,-97.927324)",30.296465,-97.927324,4400-4435 SPANISH OAKS CLUB BLVD,ARCHIVED,06/26/2018 07:20:03 PM +0000
24A0BEA4FFCB36218C883257BDA775BA6C738639_1531925336,07/18/2018 02:48:56 PM +0000,COLLISION WITH INJURY,"(30.405577,-97.927145)",30.405577,-97.927145,4402 HUDSON BEND RD,ARCHIVED,07/18/2018 03:30:03 PM +0000
C9A29848A88AE775219A33558046DA3BF7BFE247_1627141592,07/24/2021 03:46:32 PM +0000,Crash Urgent,"(30.208448,-97.781513)",30.208447999999997,-97.781513,W Stassney Ln & S 1st St,ARCHIVED,07/24/2021 04:50:03 PM +0000
36D64040F731B093D71A02CEC21C74CB4FF122C5_1516400063000,01/19/2018 10:14:00 PM +0000,Traffic Hazard,"(30.276034,-97.667911)",30.276034000000003,-97.667911,3800-3949 Ed Bluestein Blvd Nb,ARCHIVED,01/20/2018 04:30:00 AM +0000
