Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
A2DAE302A48D5CBE257B8DB4C150CF14C602A71B_1630761163,09/04/2021 01:12:43 PM +0000,Traffic Hazard,"(30.265881,-97.749782)",30.265881,-97.749782,500-517 W 2nd St,ARCHIVED,09/04/2021 02:05:02 PM +0000
CAB1712687E44189836447CABE02AFAE8B75EE57_1551123533,02/25/2019 07:38:53 PM +0000,TRFC HAZD/ DEBRIS,"(30.329308,-98.020412)",30.329308,-98.020412,Pedernales Summit Pkwy & W Sh 71,ARCHIVED,02/25/2019 08:00:06 PM +0000
13D1433C84AC448FD47349A00B528DBD91E6F28A_1513787904000,12/20/2017 04:38:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.456161,-97.665638)",30.456160999999998,-97.665638,N Ih 35 Svrd Nb & Grand Avenue Pkwy,ARCHIVED,12/20/2017 04:55:00 PM +0000
29F326E5AFFC9B9E47FDD8AD4A5B4A29D2E73F62_1652628266,05/15/2022 03:24:26 PM +0000,LOOSE LIVESTOCK,"(30.092996,-97.740723)",30.092996000000003,-97.740723,4400 FM 1327 RD,ARCHIVED,05/15/2022 03:40:03 PM +0000
0D0B359CF59B0F9E0BA32C31996184FD19B470F3_1593785406,07/03/2020 02:10:06 PM +0000,Traffic Hazard,"(30.261238,-97.706658)",30.261238,-97.70665799999999,2920 Prado St,ARCHIVED,07/03/2020 03:25:03 PM +0000
08E13D6D910F8F4B334B0C59104105E88B52CDB5_1556465509,04/28/2019 03:31:49 PM +0000,Crash Urgent,"(30.251737,-97.708822)",30.251737,-97.708822,3112 E Cesar Chavez St,ARCHIVED,04/28/2019 03:41:06 PM +0000
2E5A616A2CB3B91852EAFE6C9F29C186CC2EFD2E_1535486434,08/28/2018 08:00:34 PM +0000,Crash Urgent,"(30.46176,-97.817367)",30.461759999999998,-97.817367,12201-12219 N Fm 620 Rd,ARCHIVED,08/28/2018 08:16:03 PM +0000
1354B7DE40249985FFD774D71871AA0B3990F265_1573422748,11/10/2019 09:52:28 PM +0000,COLLISION,"(30.348861,-97.555963)",30.348861,-97.555963,E Us 290 Hwy Eb & Lexington St,ARCHIVED,11/10/2019 10:55:02 PM +0000
2D97D80F5AF467CAF6A638D16C539634E7B1B7A1_1598057908,08/22/2020 12:58:28 AM +0000,Traffic Hazard,"(30.429444,-97.695334)",30.429444,-97.695334,Scofield Ridge Pkwy & Winwick Way,ARCHIVED,08/22/2020 01:20:03 AM +0000
CD53E2929FBF6B1F6F2069F6FFE5976FD5C31536_1579825321,01/24/2020 12:22:01 AM +0000,LOOSE LIVESTOCK,"(30.14199,-97.616151)",30.141990000000003,-97.616151,14200-15924 FAGERQUIST RD,ARCHIVED,01/24/2020 12:40:03 AM +0000
C41882F67AA8B3FFB5D98F51F530E7A189C779CE_1540904502,10/30/2018 01:01:42 PM +0000,COLLISION,"(30.194506,-97.623452)",30.194506,-97.623452,S SH 130 SVRD NB & E SH 71 SVRD WB,ARCHIVED,10/30/2018 01:40:03 PM +0000
407ACB196B60D52341AE7596E38E99B8A59E6F50_1544296938,12/08/2018 07:22:18 PM +0000,LOOSE LIVESTOCK,"(30.334991,-97.510673)",30.334991,-97.510673,OLD HWY 20 & LITTIG RD,ARCHIVED,12/08/2018 07:55:03 PM +0000
5B3FFC638115EC1ACFCD9098DD56778C27F5033D_1518925050000,02/18/2018 03:37:00 AM +0000,COLLISION,"(30.256997,-97.611818)",30.256997,-97.611818,4600-6400 N Fm 973 Rd,ARCHIVED,02/18/2018 11:00:00 AM +0000
